date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:44	54261/54261	---M-Z	200	added ('OK')	text/html	etag:W/%2234febb75ea7bd8774ead24289a9a6335%22	https://www.chanellemoreau.com/	C:/chanellemoreau/https___www.chanellemoreau.com_/www.chanellemoreau.com/index.html	(from )
22:53:44	302/302	---M-Z	200	added ('OK')	text/plain	date:Mon,%2003%20Aug%202020%2020:45:42%20GMT	https://www.chanellemoreau.com/robots.txt		(from )
22:53:45	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Tue,%2004%20Aug%202020%2008:53:44%20GMT	http://static1.squarespace.com/static/5eca3242a9658a4c958be75e/t/5ed8b9b74a80dc4a5cfe8cd4/1591261624873/logo-hands4web.png?format=1500w	C:/chanellemoreau/https___www.chanellemoreau.com_/static1.squarespace.com/static/5eca3242a9658a4c958be75e/t/5ed8b9b74a80dc4a5cfe8cd4/1591261624873/logo-hands4web.026f7.delayed	(from https://www.chanellemoreau.com/)
22:53:47	18159/18159	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2004%20Aug%202020%2008:53:45%20GMT	http://use.typekit.net/ik/r0-_vQ1HgvUsNGljLKGyENu0sXG0beoG7f6m9YxneYjfe7MIfFHN4UJLFRbh52jhWDm8jhIDwRbkjQqhFQyyFewoFQyKZQSuZs7wMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcBDOcu8OfG0jhyydcmCdemlda48jW90SaBujW48Sagyjh90jhNlOfG0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1OcFzdPUyjamTiY8Djhy8ZYmC-Ao1Oco8ifUySkolZPUR-eB0ZAUCZAuzScmyiPoRdhXCjhyydcmCdemlda48jW90SaBujW48Sagyjh90jhNlOeUzjhBC-eNDifUDSWmyScmDSeBRZWFR-emqiAUTdcS0jhNlOYiaikoyjamTiY8Djhy8ZYmC-Ao1OcFzdPUaiaS0jAFu-WsoShFGZAsude80Zko0ZWbCiaiaOcBDOcu8OYiaikoR-eB0ZAUCZAuzScmyiPoRdhXCiaiaOcFGjAo8deU8dANkZABuO1FUiABkZWF3jAF8OcFzdPUaiaS0SaBujW48SagyjhmDjhy8ZYmC-Ao1OcFzdPJOda43-emuSku3ScvKIcBqdh48OAiyScBldhoqOWgkdkGHf50rMsMMeMb6MKGHfFAFMyMMeM96MKG4fVwXIMIjgfMfH6qJv2bbMs6YJMJ7fbRkFgMgeMt6MKG4fVIXIMIjIPMfqMY-a5Ohgb.js	C:/chanellemoreau/https___www.chanellemoreau.com_/use.typekit.net/ik/r0-_vQ1HgvUsNGljLKGyENu0sXG0beoG7f6m9YxneYjfe7MIfFHN4UJLFRbh52jhWDm8jhIDwRbkjQqhFQyyFewoFQyKZQSuZs7wMkG0jAFu-WsoShFGZAsude80ZkoRdhXCHKoyjamTiY8Djhy8ZYmC-Ao1Oco8if37OcB	(from https://www.chanellemoreau.com/)
22:53:51	155963/155963	---M-Z	200	added ('OK')	text/javascript	etag:%229333259fd515e4ab4890aeedb71cf310%22	http://assets.squarespace.com/universal/scripts-compressed/performance-15bbb6cc6cb0d371694a8-min.en-US.js	C:/chanellemoreau/https___www.chanellemoreau.com_/assets.squarespace.com/universal/scripts-compressed/performance-15bbb6cc6cb0d371694a8-min.en-US.js	(from https://www.chanellemoreau.com/)
22:53:52	618492/618492	---MCZ	200	added ('OK')	text/css	date:Tue,%2004%20Aug%202020%2008:53:47%20GMT	http://static1.squarespace.com/static/sitecss/5eca3242a9658a4c958be75e/28/5c5a519771c10ba3470d8101/5eca3243a9658a4c958be778/901-05142015/1591262137281/site.css?&filterFeatures=false	C:/chanellemoreau/https___www.chanellemoreau.com_/static1.squarespace.com/static/sitecss/5eca3242a9658a4c958be75e/28/5c5a519771c10ba3470d8101/5eca3243a9658a4c958be778/901-05142015/1591262137281/site8696.css	(from https://www.chanellemoreau.com/)
22:53:53	48826/48826	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Aug%202020%2008:53:52%20GMT	https://www.chanellemoreau.com/cart	C:/chanellemoreau/https___www.chanellemoreau.com_/www.chanellemoreau.com/cart.html	(from https://www.chanellemoreau.com/)
22:53:54	48536/48536	---M--	200	added ('OK')	image/png	etag:CN/F5L7n5+kCEAE=	https://images.squarespace-cdn.com/content/5eca3242a9658a4c958be75e/1591261623259-Y3JI5EKA7RIWBHW7M6X2/logo-hands4web.png?content-type=image%2Fpng	C:/chanellemoreau/https___www.chanellemoreau.com_/images.squarespace-cdn.com/content/5eca3242a9658a4c958be75e/1591261623259-Y3JI5EKA7RIWBHW7M6X2/logo-hands4web5d45.png	(from https://www.chanellemoreau.com/)
22:53:59	0/0	---MC-	302	error ('Found')	text/html	etag:W/%226c0778ded19b284e22f19bf8dfee856e%22	https://www.chanellemoreau.com/photography	C:/chanellemoreau/https___www.chanellemoreau.com_/www.chanellemoreau.com/photography.7.delayed	(from https://www.chanellemoreau.com/)
22:54:03	55279/55279	---M-Z	200	added ('OK')	text/html	etag:W/%221e62ef9f14dedfb54425aa472a32b38d%22	https://www.chanellemoreau.com/recent-work	C:/chanellemoreau/https___www.chanellemoreau.com_/www.chanellemoreau.com/recent-work.html	(from https://www.chanellemoreau.com/)
22:54:04	102079/102079	---M-Z	200	added ('OK')	text/html	etag:W/%224c1d0102ede9b192526751d7310a6d39%22	https://www.chanellemoreau.com/film-diaries-ii	C:/chanellemoreau/https___www.chanellemoreau.com_/www.chanellemoreau.com/film-diaries-ii.html	(from https://www.chanellemoreau.com/)
22:54:06	335922/335922	---M-Z	200	added ('OK')	text/html	etag:W/%220f16d20bca75888d602c8e50be1fad21%22	https://www.chanellemoreau.com/film-diaries-i	C:/chanellemoreau/https___www.chanellemoreau.com_/www.chanellemoreau.com/film-diaries-i.html	(from https://www.chanellemoreau.com/)
22:54:11	1491324/1491324	---M-Z	200	added ('OK')	text/javascript	etag:%221c2f44efd30ccd747822e6e5501f983a%22	http://assets.squarespace.com/universal/scripts-compressed/common-0a7649bcc3d1bdb0e9f82-min.en-US.js	C:/chanellemoreau/https___www.chanellemoreau.com_/assets.squarespace.com/universal/scripts-compressed/common-0a7649bcc3d1bdb0e9f82-min.en-US.js	(from https://www.chanellemoreau.com/)
